Model,N,InferenceTime_ms
XGBoost,10,1.3332300004549325
MLP_NN,10,0.995605019852519
LSTM,10,27.647153998259455
XGBoost,10,1.3018370373174548
MLP_NN,10,0.996281043626368
LSTM,10,27.619401982519776
XGBoost,10,1.376727013848722
MLP_NN,10,1.0239340481348336
LSTM,10,27.6884280028753
XGBoost,10,1.3722299481742084
MLP_NN,10,0.9978070156648755
LSTM,10,29.27001705393195
XGBoost,10,1.4453829498961568
MLP_NN,10,1.0257730027660728
LSTM,10,27.48204203089699
XGBoost,10,1.5829099575057626
MLP_NN,10,1.0119989747181535
LSTM,10,28.093106986489147
XGBoost,10,1.5902190352790058
MLP_NN,10,1.07332703191787
LSTM,10,27.77829102706164
XGBoost,10,1.4144250308163464
MLP_NN,10,0.995487964246422
LSTM,10,27.546185010578483
XGBoost,10,1.384723000228405
MLP_NN,10,1.0249040205962956
LSTM,10,27.662975015118718
XGBoost,10,1.3721009599976242
MLP_NN,10,1.014054985716939
LSTM,10,27.704132022336125
XGBoost,10,1.4360019704326987
MLP_NN,10,1.0223679710179567
LSTM,10,27.992693008854985
XGBoost,10,1.491662987973541
MLP_NN,10,1.0246509918943048
LSTM,10,27.305544004775584
XGBoost,10,1.3950520078651607
MLP_NN,10,0.9792919736355543
LSTM,10,27.658782026264817
XGBoost,10,1.3485479867085814
MLP_NN,10,1.0059840278699994
LSTM,10,27.406979992520064
XGBoost,10,1.3540969812311232
MLP_NN,10,0.9777729865163565
LSTM,10,27.261018054559827
XGBoost,10,1.3053559814579785
MLP_NN,10,1.0044290102086961
LSTM,10,29.137627978343517
XGBoost,10,1.5224909875541925
MLP_NN,10,1.0757590061984956
LSTM,10,27.555631997529417
XGBoost,10,1.4147539623081684
MLP_NN,10,1.0057389736175537
LSTM,10,27.60808396851644
XGBoost,10,2.3422089871019125
MLP_NN,10,1.665521995164454
LSTM,10,28.0949289444834
XGBoost,10,1.431274984497577
MLP_NN,10,0.9598800097592175
LSTM,10,27.72941399598494
XGBoost,10,1.393500017002225
MLP_NN,10,1.0228870087303221
LSTM,10,28.385034995153546
XGBoost,10,1.3972150045447052
MLP_NN,10,1.0429590474814177
LSTM,10,27.83183305291459
XGBoost,10,1.4094660291448236
MLP_NN,10,0.9836379904299974
LSTM,10,31.18166298372671
XGBoost,10,1.3906180392950773
MLP_NN,10,0.9750230237841606
LSTM,10,27.881307993084192
XGBoost,10,1.6028709942474961
MLP_NN,10,0.9871770162135363
LSTM,10,27.425892010796815
